NUM_DEPENSE|DT_DEPENSE|LB_DESCRIPTION_DEPENSE|LB_SOUS_CATEGORIE|MT_DEPENSE
D00001|01/01/2022|Achat Essence|Carburant|32.41
D00002|02/01/2022|Alimentation|Alimentation|20.37
D00003|06/01/2022|Abonnement Microsoft|Abonnement Logiciel|6.48
D00004|09/01/2022|Alimentation|Alimentation|20.82
D00005|11/01/2022|Achat Essence|Carburant|32.41
D00006|12/01/2022|Frais Electricité|Énergie (Électricité & Gaz)|52.08
D00007|12/01/2022|Frais bancaire|Frais Bancaire|0.58
D00008|13/01/2022|Soins et Hygiène|Soins et Hygiène|12.93
D00009|13/01/2022|Alimentation|Alimentation|0.97
D00010|16/01/2022|Alimentation|Alimentation|26.19
D00011|16/01/2022|Alimentation|Alimentation|7.44
D00012|16/01/2022|Loisirs|Loisirs|4.54
D00013|16/01/2022|Frais bancaire|Frais Bancaire|0.58
D00014|16/01/2022|Prélèvement Abonnement SFR|Abonnement Télécommunications|8.43
D00015|27/01/2022|Paiement Loyer|Loyer|363.0
D00016|19/01/2022|Alimentation|Alimentation|22.75
D00017|19/01/2022|Alimentation|Alimentation|4.21
D00018|20/01/2022|Alimentation|Alimentation|5.19
D00019|23/01/2022|Alimentation|Alimentation|25.66
D00020|24/01/2022|Soins et Hygiène|Soins et Hygiène|2.59
D00021|24/01/2022|Alimentation|Alimentation|4.09
D00022|24/01/2022|Alimentation|Alimentation|3.87
D00023|24/01/2022|Alimentation|Alimentation|9.81
D00024|24/01/2022|Frais bancaire|Frais Bancaire|3.15
D00025|27/01/2022|Cadeaux d'Anniversaire|Cadeaux d'Anniversaire|21.49
D00026|28/01/2022|Alimentation|Alimentation|2.59
D00027|22/01/2022|Abonnement Microsoft|Abonnement Logiciel|6.48
D00028|31/01/2022|Alimentation|Alimentation|15.65
D00029|03/02/2022|Abonnement Microsoft|Abonnement Logiciel|6.48
D00030|03/02/2022|Alimentation|Alimentation|5.13
D00031|07/02/2022|Alimentation|Alimentation|22.25
D00032|09/02/2022|Soins et Hygiène|Soins et Hygiène|17.47
D00033|13/02/2022|Alimentation|Alimentation|1.23
D00034|13/02/2022|Alimentation|Alimentation|1.25
D00035|13/02/2022|Frais Electricité|Énergie (Électricité & Gaz)|52.08
D00036|14/02/2022|Alimentation|Alimentation|17.25
D00037|14/02/2022|Alimentation|Alimentation|3.52
D00038|17/02/2022|Prélèvement Abonnement SFR|Abonnement Télécommunications|8.43
D00039|17/02/2022|Loisirs|Loisirs|19.45
D00040|17/02/2022|Paiement assurance Habitation|Assurance Maison|53.71
D00041|27/02/2022|Paiement Loyer|Loyer|363.0
D00042|19/02/2022|Paiement Machine|Equipemement Maison|55.09
D00043|19/02/2022|Achat Essence|Carburant|32.41
D00044|24/02/2022|Abonnement Microsoft|Abonnement Logiciel|6.48
